USR_ID, Original sentence, generated sentence, HIndi generated sentence, masked hindi sentence
315,kisane pAnI se GadZe ko BarA?,kisane pAnI se GadA BarA,किसने पानी से घडा भरा,किसने पानी <> घडा <> भरा
316,hari ne kyA GadZe meM BarA?,hari ne kyA Gade meM BarA,हरि ने क्या घडे में भरा,हरि <> क्या घडे <> भरा
317,wuma pAnI se GadZe ko Baro.,wuma pAnI se GadA #Bara,तुम पानी से घडा #भर,तुम पानी <> घडा <> #भर
318,hari ne pAnI se GadZe ko nahIM BarA.,hari pAnI se GadA nahIM,हरि पानी से घडा नहीं,हरि पानी <> घडा <> नहीं
319,GadZe meM pAnI hari ne BarA.,Gade meM pAnI hari ne BarA,घडे में पानी हरि ने भरा,घडे <> पानी <> हरि <> भरा
320,Sahara mawa jAo!,Sahara nahIM jAo,शहर नहीं जाओ,शहर नहीं जाओ
321,sUrya nakRawra hE.,sUrya nakRawra hE,सूर्य नक्षत्र है,सूर्य नक्षत्र है
322,sUrya badA nakRawra hE.,sUrya badA nakRawra hE,सूर्य बडा नक्षत्र है,सूर्य बडा नक्षत्र है
323,sUrya sabase badA nakRawra hE.,sUrya badA nakRawra hE,सूर्य बडा नक्षत्र है,सूर्य बडा नक्षत्र है
324,gulAba jEse PUla pAnI meM nahIM ugawe hEM.,gulAboM jEsI PUla pAnI meM nahIM ugawe hEM,गुलाबों जैसी फूल पानी में नहीं उगते हैं,गुलाबों <> फूल पानी <> नहीं उगते हैं
325,mEMne rAma se praSna pUCA.,mEMne rAma ko praSna pUCA,मैंने राम को प्रश्न पूछा,मैंने राम <> प्रश्न <> पूछा
327,rAma pahale AyA.,rAma #pahale ko AyA,राम #पहले को आया,राम #पहले <> आया
328,rAma ne cammaca se katorI se KIra KAyI.,rAma ne cammaca se katore se KIra KAI,राम ने चम्मच से कटोरे से खीर खाई,राम <> चम्मच <> कटोरे <> खीर <> खाई
329,rAma ne mohana ko kahAnI sunAyI.,rAma ne mohana ko kahAnI sunAI,राम ने मोहन को कहानी सुनाई,राम <> मोहन <> कहानी <> सुनाई
330,rAma ne skUla jAkara KAnA KAyA.,rAma ne skUla #jA KAnA KAyA,राम ने स्कूल #जा खाना खाया,राम <> स्कूल #जा खाना <> खाया
332,rAvaNa acCA nahIM hE.,rAvaNa acCA nahIM hE,रावण अच्छा नहीं है,रावण अच्छा नहीं है
333,XaniyA iwanI vyavahAra kuSala nahIM WI.,XaniyA iwanA vyavahAra #kuSala nahIM WI,धनिया इतना व्यवहार #कुशल नहीं थी,धनिया इतना व्यवहार #कुशल नहीं थी
334,rAma sabako skUla bulAwA hE.,rAma saba skUla meM bulAwA hE,राम सब स्कूल में बुलाता है,राम सब स्कूल <> बुलाता है
335,rAma sabako apane skUla bulAwA hE.,rAma saba #apanA skUla meM bulAwA hE,राम सब #अपना स्कूल में बुलाता है,राम सब #अपना स्कूल <> बुलाता है
336,rAma kyA cAhawA hE?,rAma kyA cAhawA hE,राम क्या चाहता है,राम क्या चाहता है
337,rAma Pala cAhawA hE?,rAma Pala cAhawA hE,राम फल चाहता है,राम फल <> चाहता है
338,mohana laMgadAkara calawA hE.,mohana laMgade calawA hE,मोहन लंगडे चलता है,मोहन लंगडे चलता है
340,BAgawe hue Sera ko xeKo.,BAga Sera xeKo,भाग शेर देखो,भाग शेर <> देखो
341,BAgawe hue Sera ko xeKo.,BAga Sera xeKo,भाग शेर देखो,भाग शेर <> देखो
342,KIra ke liye cAvala KarIxo.,KIra ke lie cAvala KarIxo,खीर के लिए चावल खरीदो,खीर <> <> चावल <> खरीदो
343,KIra ke liye KarIxo.,KIra ke lie KarIxo,खीर के लिए खरीदो,खीर <> <> खरीदो
344,hAWI JUmawA huA calawA hE.,hAWI #JUma calawA hE,हाथी #झूम चलता है,हाथी #झूम चलता है
345,rAma hazsawe hue bolawA hE.,rAma #hazsa bolawA hE,राम #हँस बोलता है,राम #हँस बोलता है
346,rAma mohana se jyAxA buxXimAna hE.,rAma mohana jEsI #buxXimAna hE,राम मोहन जैसी #बुद्धिमान है,राम मोहन <> #बुद्धिमान है
349,rAma mohana se kama buxXimAna hE.,rAma mohana jEsI #buxXimAna hE,राम मोहन जैसी #बुद्धिमान है,राम मोहन <> #बुद्धिमान है
350,mEM BHU meM paDawA hUM.,mEM #BHU meM paDawA hUz,मैं #भ्Hऊ में पढता हूँ,मैं #भ्Hऊ <> पढता हूँ
351,ladZake eka hokara lade.,ladake eka #ho lade,लडके एक #हो लडे,लडके एक #हो लडे
352,gAyoM ke xuhane se pahale rAma gayA.,gAyoM ko #xuha rAma ne jAIM,गायों को #दुह राम ने जाईं,गायों <> #दुह राम <> जाईं
353,rAXA mIrA jEsI sunxara hE.,rAXA #mIrA jEsI #sunxara hE,राधा #मीरा जैसी #सुन्दर है,राधा #मीरा <> #सुन्दर है
354,rAma Ora sIwA acCe hEM.,rAma sIwA acCA hE,राम सीता अच्छा है,राम सीता अच्छा है
355,rAma ke xo bete hEM.,rAma xo bete hEM,राम दो बेटे हैं,राम दो बेटे हैं
356,rAma ke eka betI hE.,rAma betI hE,राम बेटी है,राम बेटी है
357,mEMne kaviwAoM kI kiwAba KarIxI.,mEMne kaviwAoM kA kiwAba KarIxI,मैंने कविताओं का किताब खरीदी,मैंने कविताओं <> किताब <> खरीदी
358,rAma nalasAja nahIM hE.,rAma nalasAja nahIM hE,राम नलसाज नहीं है,राम नलसाज नहीं है
359,mEMne SruwaleKa paDA.,mEMne SruwaleKa paDA,मैंने श्रुतलेख पढा,मैंने श्रुतलेख <> पढा
361,mEM kala rAma ko sarAhuMgA.,mEM kala ko rAma ko sarAhUzgA,मैं कल को राम को सराहूँगा,मैं कल <> राम <> सराहूँगा
362,mEMne avinASI saca paDA.,mEMne #avinASI saca paDA,मैंने #अविनाशी सच पढा,मैंने #अविनाशी सच <> पढा
344,hAWI JUmawA huA calawA hE.,hAWI #JUma calawA hE,हाथी #झूम चलता है,हाथी #झूम चलता है
Test_data/2.tx,rAma hazsawe hue bolawA hE.,rAma hazsakara bolawA hE,राम हँसकर बोलता है,राम हँसकर बोलता है
103,betoM ko Kewa meM bIja bonA cAhie.,bete Kewa meM bIja bone #None,बेटे खेत में बीज बोने #णोने,बेटे खेत <> बीज <> बोने #णोने
103,betoM ko Kewa meM bIja bonA cAhie.,bete Kewa meM bIja bone cAheM,बेटे खेत में बीज बोने चाहें,बेटे खेत <> बीज <> बोने चाहें
103,betoM ko Kewa meM bIja bonA cAhie.,bete Kewa meM bIja bone cAheM,बेटे खेत में बीज बोने चाहें,बेटे खेत <> बीज <> बोने चाहें
103,betoM ko Kewa meM bIja bonA cAhie.,bete Kewa meM bIja bone cAheM,बेटे खेत में बीज बोने चाहें,बेटे खेत <> बीज <> बोने चाहें
61,rAvaNa rAma ke xvArA mArA gayA WA.,rAvaNa ko rAma ne mArA gayA WA,रावण को राम ने मारा गया था,रावण <> राम <> मारा गया था
101,viveka ne rAhula ko BI samAroha meM AmaMwriwa kiyA.,vivek ne rahul ko samAroha #AmaMwriwa kiyA,विवेक् ने रहुल् को समारोह #आमंत्रित किया,विवेक् <> रहुल् <> समारोह #आमंत्रित किया
247,ayAn ko vixyAlaya meM paDanA cAhie.,ayAn vixyAlaya meM paDanA cAhe,अयान् विद्यालय में पढना चाहे,अयान् विद्यालय <> पढना चाहे
1,Apa kahAz rahawe hEM?,Apa #kahAz meM rahawA hE,आप #कहाँ में रहता है,आप #कहाँ <> रहता है
4,bacce janavarI meM Pala KAwe hEM.,bacce janavarI ko Pala KAwe hEM,बच्चे जनवरी को फल खाते हैं,बच्चे जनवरी <> फल <> खाते हैं
1,Apa kahAz rahawe hEM?,Apa #kahAz meM rahawA hE,आप #कहाँ में रहता है,आप #कहाँ <> रहता है
88,kyA rAma ke pAsa kiwAba hE?,kyA rAma ke pAsa kiwAba hE?,क्या राम के पास किताब है?,राम <> <> किताब है
40,rAma ko xillI jAnA padZA.,rAma xillI jAnA #None,राम दिल्ली जाना #णोने,राम दिल्ली जाना #णोने
56,bacce ko CAwra kahA jAyegA.,bacce ko CAwra kahA #None,बच्चे को छात्र कहा #णोने,बच्चे <> छात्र <> कहा #णोने
56,bacce ko CAwra kahA jAyegA.,bacce ko CAwra kahA #jA,बच्चे को छात्र कहा #जा,बच्चे <> छात्र <> कहा #जा
33,mEM kala AyA.,mEM kala ko AI,मैं कल को आई,मैं कल <> आई
64,unhone Kewa meM bIja bo xiye.,#vaha Kewa meM bIja bo #None,#वह खेत में बीज बो #णोने,#वह खेत <> बीज <> बो #णोने
64,unhone Kewa meM bIja bo xiye.,#vaha Kewa meM bIja bo #xe,#वह खेत में बीज बो #दे,#वह खेत <> बीज <> बो #दे
64,unhone Kewa meM bIja bo xiye.,#vaha Kewa meM bIja bo #xe,#वह खेत में बीज बो #दे,#वह खेत <> बीज <> बो #दे
64,unhone Kewa meM bIja bo xiye.,#vaha Kewa meM bIja bo xie,#वह खेत में बीज बो दिए,#वह खेत <> बीज <> बो दिए
65,BArawa ko AryAvarwa kahA jAwA WA.,BArawa AryAvarwa kahA #None WA,भारत आर्यावर्त कहा #णोने था,भारत <> आर्यावर्त <> कहा #णोने था
65,BArawa ko AryAvarwa kahA jAwA WA.,BArawa AryAvarwa kahA #None WA,भारत आर्यावर्त कहा #णोने था,भारत <> आर्यावर्त <> कहा #णोने था
65,BArawa ko AryAvarwa kahA jAwA WA.,BArawa AryAvarwa kahA jAwA WA,भारत आर्यावर्त कहा जाता था,भारत <> आर्यावर्त <> कहा जाता था
56,bacce ko CAwra kahA jAyegA.,bacce ko CAwra kahA jAegA,बच्चे को छात्र कहा जाएगा,बच्चे <> छात्र <> कहा जाएगा
68,pqWvI ko graha kahA jAwA hE.,pqWvI graha kahA jAwA hE,पृथ्वी ग्रह कहा जाता है,पृथ्वी <> ग्रह <> कहा जाता है
103,betoM ko Kewa meM bIja bonA cAhie.,bete Kewa meM bIja bone cAheM,बेटे खेत में बीज बोने चाहें,बेटे खेत <> बीज <> बोने चाहें
103,betoM ko Kewa meM bIja bonA cAhie.,bete Kewa meM bIja bone cAheM,बेटे खेत में बीज बोने चाहें,बेटे खेत <> बीज <> बोने चाहें
103,betoM ko Kewa meM bIja bonA cAhie.,bete Kewa meM bIja bone cAheM,बेटे खेत में बीज बोने चाहें,बेटे खेत <> बीज <> बोने चाहें
103,betoM ko Kewa meM bIja bonA cAhie.,bete Kewa meM bIja bone cAheM,बेटे खेत में बीज बोने चाहें,बेटे खेत <> बीज <> बोने चाहें
103,betoM ko Kewa meM bIja bonA cAhie.,bete Kewa meM bIja bone cAhiye/cAhie,बेटे खेत में बीज बोने चाहिये/चाहिए,बेटे खेत <> बीज <> बोने चाहिये/चाहिए
104,ladake ko nayI kiwAba paDanI cAhie.,ladakA naye kiwAba paDanA cAhiye/cAhie,लडका नये किताब पढना चाहिये/चाहिए,लडका नये किताब <> पढना चाहिये/चाहिए
110,muJe kalama xiyA gayA.,muJe kalama xiyA gayA,मुझे कलम दिया गया,मुझे कलम <> दिया गया
147,vaha so cukA hogA.,vaha so #None hogA,वह सो #णोने होगा,वह सो #णोने होगा
147,vaha so cukA hogA.,vaha so cukA hogA,वह सो चुका होगा,वह सो चुका होगा
150,rAma ne KAnA nahIM KAyA WA,rAma KAnA nahIM,राम खाना नहीं,राम खाना <> नहीं
150,rAma ne KAnA nahIM KAyA WA,rAma ne KAnA nahIM KAyA WA,राम ने खाना नहीं खाया था,राम <> खाना <> नहीं खाया था
158,mEMne Pala KA liyA hogA.,mEM Pala KA liyA hoUzgA,मैं फल खा लिया होऊँगा,मैं फल <> खा लिया होऊँगा
163,lomadZI BUKI WI,lomadI BUKA #hE,लोमडी भूखा #है,लोमडी भूखा #है
163,lomadZI BUKI WI,lomadI BUKA #WA,लोमडी भूखा #था,लोमडी भूखा #था
163,lomadZI BUKI WI,lomadI BUKA WI,लोमडी भूखा थी,लोमडी भूखा थी
168,rajawa ne rAXA ko bawAyA,rajawa ne rAXA ko bawAI,रजत ने राधा को बताई,रजत <> राधा <> बताई
176,XarAwala SikRA meM hE.,XarAwala SikRA meM hE,धरातल शिक्षा में है,धरातल शिक्षा <> है
178,jaMgala meM Sera WA.,jaMgala meM Sera WA,जंगल में शेर था,जंगल <> शेर था
194,kyA wuma Delhi meM ho?,kyA wuma Delhi meM hE?,क्या तुम ढेल्हि में है?,तुम ढेल्हि <> है
196,rAma ko KIra KAnI padZI.,rAma KIra KAnA pada,राम खीर खाना पड,राम खीर <> खाना पड
196,rAma ko KIra KAnI padZI.,rAma KIra KAnA padA,राम खीर खाना पडा,राम खीर <> खाना पडा
197,muJe xOdZanA cAhie.,mEM xOdanA cAhiye/cAhie,मैं दौडना चाहिये/चाहिए,मैं दौडना चाहिये/चाहिए
218,rAma Sahara meM WA,rAma Sahara meM WA,राम शहर में था,राम शहर <> था
229,ayAn ke pAsa WodZA pAnI WA.,ayAn ke pAsa Wode pAnI WA,अयान् के पास थोडे पानी था,अयान् <> <> थोडे पानी था
280,riweSa ko samaJa A gayA,riweSa samaJa cukA WA,रितेश समझ चुका था,रितेश समझ चुका था
24,ladake ke liye jaMgala se Pala lAo!,ladake ke lie jaMgala se Pala lAo,लडके के लिए जंगल से फल लाओ,लडके <> <> जंगल <> फल <> लाओ
44,bagIce meM billiyAz WIM. ,bagIce meM billiyAz WIM,बगीचे में बिल्लियाँ थीं,बगीचे <> बिल्लियाँ थीं
40,rAma ko xillI jAnA padZA.,rAma xillI jAnA padA,राम दिल्ली जाना पडा,राम दिल्ली जाना पडा
57,mere liye jaMgala se Pala lAo!,#mEM jaMgala se Pala lAo,#मैं जंगल से फल लाओ,#मैं जंगल <> फल <> लाओ
99,camadZe se jUwe banAo.,camade jUwe banAo,चमडे जूते बनाओ,चमडे जूते <> बनाओ
168,rajawa ne rAXA ko bawAyA,rajawa ne rAXA ko bawAI,रजत ने राधा को बताई,रजत <> राधा <> बताई
168,rajawa ne rAXA ko bawAyA,rajawa ne rAXA ko bawAI,रजत ने राधा को बताई,रजत <> राधा <> बताई
232,ladake ke liye jaMgala se Pala lAo!,ladake ke lie jaMgala se Pala lAo,लडके के लिए जंगल से फल लाओ,लडके <> <> जंगल <> फल <> लाओ
265,riweSa ke liye jaMgala se Pala lAo!,riweSa ke lie jaMgala se Pala lAo,रितेश के लिए जंगल से फल लाओ,रितेश <> <> जंगल <> फल <> लाओ
281,KaragoSa BUKA WA,KaragoSa BUKA WA,खरगोश भूखा था,खरगोश भूखा था
305,KaragoSa SaramiMxA huA.,KaragoSa SaramiMxA WA,खरगोश शरमिंदा था,खरगोश शरमिंदा था
307,usane basa addA xeKA.,usane basa addI xeKI,उसने बस अड्डी देखी,उसने बस अड्डी देखी
140,kala varRA hogI.,kala varRA hoMgI,कल वर्षा होंगी,कल वर्षा होंगी
151,SikRikA ne CAwroM se kakRA ko sAPa karAyA.,SikRaka ne CAwra ko kakRA sAPa kie,शिक्षक ने छात्र को कक्षा साफ किए,शिक्षक <> छात्र <> कक्षा साफ किए
Test_data/1.tx,rAma ne skUla jAkara KAnA KAyA.,rAma ne skUla jAkara KAnA KAyA,राम ने स्कूल जाकर खाना खाया,राम <> स्कूल जाकर खाना <> खाया
Test_data/1.tx,भागते हुए शेर को देखो,BAgawe_hue Sera #XeKa,भागते_हुए शेर #धेख,भागते_हुए शेर <> #धेख
Test_data/1.tx,भागते हुए शेर को देखो,BAgawe_hue Sera #xeKa,भागते_हुए शेर #देख,भागते_हुए शेर <> #देख
Test_data/1.tx,भागते हुए शेर को देखो,BAgawe_hue Sera xeKo,भागते_हुए शेर देखो,भागते_हुए शेर <> देखो
Test_data/1.tx,rAma ne skUla jAkara KAnA KAyA.,rAma ne skUla jAkara KAnA KAyA,राम ने स्कूल जाकर खाना खाया,राम <> स्कूल जाकर खाना <> खाया
Test_data/1.tx,राम खा-खाकर मोटा हो गया ।,rAma #KA motA huA gayA,राम #खा मोटा हुआ गया,राम #खा मोटा हुआ गया
Test_data/1.tx,राम खा-खाकर मोटा हो गया ।,rAma #KA motA ho gayA,राम #खा मोटा हो गया,राम #खा मोटा हो गया
Test_data/1.tx,pANdava eka hokara lade,pANdava eka #ho lade,पाण्डव एक #हो लडे,पाण्डव एक #हो लडे
Test_data/1.tx,p#राम सोते हुए खर्राटे भरता है।,rAma sowe_hue,राम सोते_हुए,राम सोते_हुए
Test_data/1.tx,p#राम सोते हुए खर्राटे भरता है।,rAma sowe_hue #KarrAte BarawA hE,राम सोते_हुए #खर्राटे भरता है,राम सोते_हुए #खर्राटे भरता है
Test_data/1.tx,p#राम सोते हुए खर्राटे भरता है।,rAma sowe_hue #KarrAte BarawA hE,राम सोते_हुए #खर्राटे भरता है,राम सोते_हुए #खर्राटे भरता है
151,SikRikA ne CAwroM se kakRA ko sAPa karAyA.,SikRaka ne CAwra ko kakRA sAPa kie,शिक्षक ने छात्र को कक्षा साफ किए,शिक्षक <> छात्र <> कक्षा साफ किए
1,Apa kahAz rahawe hEM?,Apa #kahAz meM rahawA hE,आप #कहाँ में रहता है,आप #कहाँ <> रहता है
5,baccA kya kAwA hE?,baccA kyA KAwA hE,बच्चा क्या खाता है,बच्चा क्या खाता है
67,vaha kaba jA rahA hE?,vaha #kaba ko jA rahA hE,वह #कब को जा रहा है,वह #कब <> जा रहा है
266,jAnavara kyA kAwe hEM?,jAnavara kyA KAwe hEM,जानवर क्या खाते हैं,जानवर क्या खाते हैं
1,Apa kahAz rahawe hEM?,Apa #kahAz meM rahawA hE,आप #कहाँ में रहता है,आप #कहाँ <> रहता है
67,vaha kaba jA rahA hE?,vaha #kaba ko jA rahA hE,वह #कब को जा रहा है,वह #कब <> जा रहा है
390,muJe cAya yA kAPI xo.,muJe cAya #kOPI #xe,मुझे चाय #कौफी #दे,मुझे चाय <> #कौफी <> #दे
247,ayAn ko vixyAlaya meM paDanA cAhie.,ayAn vixyAlaya meM paDanA cAhiye/cAhie,अयान् विद्यालय में पढना चाहिये/चाहिए,अयान् विद्यालय <> पढना चाहिये/चाहिए
